title,paragraph
Alexander Kopylov,"Alexander Alexandrovich Kopylov or Kopilov[1] (Александр Александрович Копылов, 14 July 1854 – 20 February 1911) was an Imperial Russian composer and violinist."
Arseny Koreshchenko,"Arseny Nikolayevich Koreshchenko (Russian: Арсений Николаевич Корещенко, 18 December 1870 – 6 January 1921) was a Russian pianist and composer of classical music, including operas and ballets."
Karel Kovařovic,"Karel Kovařovic (Prague, 9 December 1862  –  Prague, 6 December 1920) was a Czech composer and conductor."
Clara Anna Korn,"Clara Anna Korn (1866–1941) was an American pianist, composer and music writer. She was born in Germany, but her family moved to the United States and she grew up in New Jersey. She studied at the National Conservatory of Music in New York City with B.O. Klein, Antonín Dvořák and Horatio Parker.[1][2]"
Alexander Koshetz,"Alexander Koshetz (12 September 1875 – 21 September 1944) was a Ukrainian choral conductor, arranger, composer, ethnographer, writer, musicologist, and lecturer.  He helped popularize Ukrainian music around the world. His name is sometimes transliterated as Oleksandr Koshyts (Ukrainian: Олександр Кошиць)."
Heinrich Köselitz,"Johann Heinrich Köselitz (10 January 1854 – 15 August 1918) was a German author and composer. He is known for his longtime friendship with Friedrich Nietzsche, who gave him the pseudonym Peter Gast."
Sakunosuke Koyama,Sakunosuke Koyama (19 January 1864 – 27 June 1927) was a Japanese composer and music teacher. He was the founder and president of the Japanese Music Education Federation.
Leopold Koželuch,"Leopold Koželuch (Czech pronunciation: [ˈlɛopolt ˈkoʒɛlux], born Jan Antonín Koželuh, alternatively also Leopold Koželuh, Leopold Kotzeluch) (26 June 1747 – 7 May 1818) was a Czech composer and music teacher."
Antonín Kraft,"Antonín Kraft (30 December 1749,[1] Rokycany – 28 August 1820,[2] Vienna) was a Czech cellist and composer. He was a close friend of Haydn, Mozart, and Beethoven."
Johann Baptist Krall,"Johann Baptist Krall (1803–4 May 1883) was an Austrian composer, conductor, music editor/arranger, and member of the board of directors of the Wiener Singverein of the Gesellschaft der Musikfreunde."
Karl August Krebs,"Karl August Krebs (16 January 1804 as Karl August Miedke – 16 May 1880), also Carl, Miedtke,[1] was a German pianist, composer, conductor and Kapellmeister."
Stephan Krehl,"Stephan Krehl (5 July 1864 – 9 April 1924, in Leipzig[1]) was a German composer, teacher, and theoretician.  His writings include Traité général de la musique and Théorie de la musique et de science de la composition. His pupils included Else Streit and the Spanish composer Pablo Sorozábal."
Fritz Kreisler,"Friedrich ""Fritz"" Kreisler (February 2, 1875 – January 29, 1962) was an Austrian-born American violinist and composer.[1] One of the most noted violin masters of his day, and regarded as one of the greatest violinists of all time, he was known for his sweet tone and expressive phrasing. Like many great violinists of his generation, he produced a characteristic sound which was immediately recognizable as his own. Although it derived in many respects from the Franco-Belgian school, his style is nonetheless reminiscent of the gemütlich (cozy) lifestyle of pre-war Vienna."
Franz Krenn,"Franz Krenn (26 February 1816 – 18 June 1897) was an Austrian composer and composition teacher born in Droß. He studied under Ignaz von Seyfried in Vienna,[1] and served as organist in a number of Viennese churches, becoming Kapellmeister of St. Michael's Church in Vienna in 1862.[1] From 1869 until 1893 Krenn taught harmony, counterpoint and composition at the Vienna Conservatory. During this time, he appears to have acquired the nickname 'Old Krenn', and is today often described as having been a rather pedantic teacher.[2]"
Conradin Kreutzer,"Conradin Kreutzer or Kreuzer (22 November 1780 – 14 December 1849) was a German composer and conductor. His works include the operas Das Nachtlager in Granada and incidental music to Der Verschwender, both produced in 1834 in Vienna."
Halina Krzyżanowska,"Halina Krzyżanowska (1860, Paris–1937, Rennes) was an internationally renowned Polish-French pianist and composer."
Emil Kreuz,"Emil Anton Joseph Friedrich Kreuz, also known as Emil Frederick Thornfield (25 May 1867 – 3 December 1932) was a German violinist, violist, teacher, conductor and composer."
Jaroslav Křička,"Jaroslav Křička (Czech: [ˈjaroslaf ˈkr̝̊ɪt͡ʃka]; 27 August 1882 in Kelč, Moravia – 23 January 1969 in Prague) was a Czech composer, conductor, and music teacher. He was the brother of poet Petr Křička[de]."
Pavel Křížkovský,"Pavel Křížkovský (born as Karel Křížkovský) (9 January 1820, Kreuzendorf – 8 May 1885, Brno) was a Czech choral composer and conductor."
Jan Kubelík,Jan Kubelík (5 July 1880 – 5 December 1940) was a Czech violinist and composer.
Franz Krommer,Franz Krommer (Czech: František Vincenc Kramář; 27 November 1759 in Kamenice u Jihlavy – 8 January 1831 in Vienna) was a Czech composer of classical music and violinist. His 71-year lifespan began half a year after the death of George Frideric Handel and ended nearly four years after that of Ludwig van Beethoven.
Anne-Marie Krumpholtz,Anne-Marie Krumpholtz (née Steckler) was a French harpist and composer.
Rodolphe Kreutzer,"Rodolphe Kreutzer (15 November 1766[1] – 6 January 1831) was a French violinist, teacher, conductor, and composer of forty French operas, including La mort d'Abel (1810)."
Friedrich Wilhelm Kücken,"Friedrich Wilhelm Kücken (16 November 1810 – 3 April 1882) was a German composer and conductor. He was a very prolific composer, mainly known for light and melodious songs, although he has also written works for the stage and for orchestra."
Pavel Kuczynski,Pavel Kuczynski (1846–1897) was a Polish composer.
Vincas Kudirka,"Vincas Kudirka (31 December [O.S. 19 December] 1858 – 16 November [O.S. 4 November] 1899) was a Lithuanian poet and physician, and the author of both the music and lyrics of the Lithuanian National Anthem, Tautiška giesmė. He is regarded in Lithuania as a National Hero. Kudirka used pen names V. Kapsas, Paežerių Vincas, Vincas Kapsas, P.Vincas, Varpas, Q.D, K., V.K, Perkūnas."
Johann Hermann Kufferath,Johann Hermann Kufferath (12 May 1797 – 28 July 1864) was a German composer.
Wilhelm Kuhe,"Wilhelm Kuhe (10 December 1823 – 8 October 1912) was a German pianist and piano teacher, composer and administrator born in the city of Prague (modern-day Czech Republic), in the first half of the nineteenth century."
Friedrich Kuhlau,"Friedrich Daniel Rudolf Kuhlau (German; Danish sometimes Frederick Kulav) (11 September 1786 – 12 March 1832) was a Danish pianist and composer during the late Classical and early Romantic periods. He was a central figure of the Danish Golden Age and is immortalized in Danish cultural history through his music for Elves' Hill, the first true work of Danish National Romanticism and a concealed tribute to the absolute monarchy. To this day it is his version of this melody which is the definitive arrangement."
Jan Křtitel Kuchař,"Jan Křtitel Kuchař, or also German: Johann Baptist Kucharz (5 March 1751 in Choteč – 18 February 1829 in Prague) was a Czech organist, mandolinist, harpsichordist, music composer, operatic conductor, and teacher.[1]"
Izabella Kuliffay,"Izabella Kuliffay (29 December 1863 – 19 January 1945) was a Hungarian pianist and composer. She was born in Pest, and studied music at the National Conservatory in Budapest from 1877–79, and the Budapest Academy of Music from 1879–83, with teachers including Kornel Abranyi and Gyula Erkel.[1] Her work was also heavily influenced by Franz Liszt.[2]"
Théodore Labarre,Théodore François Joseph Berry Labarre (23 March 1805 – 9 March 1870) was a French harpist and composer. He lived in Paris and in London and was awarded the Prix de Rome in 1823 as well as the Légion d'honneur in 1862.
Jean-Baptiste Labelle,"Jean-Baptiste Labelle (September 1825 – 9 September 1898) was a Canadian composer, organist, pianist, and conductor. He is best known for composing the music to the song Ô Canada! mon pays, mes amours (words 1834, music before 1868) with words by George-Étienne Cartier. He also used words by Cartier for the song Avant tout je suis Canadien (1860). Some of his other notable works include the cantatas Cantate: La Confédération (1868) and La Croisade canadienne (1886); the operetta La Conversion d'un pêcheur de la Nouvelle-Écosse (published by the A.J. Boucher Co. in 1868); the piano pieces Marche canadienne (1846) and Quadrille national canadien; and the song Chant des Zouaves canadiens (1881).[1]"
Theodor Kullak,"Theodor Kullak (12 September 1818 – 1 March 1882) was a German pianist, composer, and teacher."
Aleksander Kunileid,"Aleksander Kunileid (born Aleksander Saebelmann; 22 November 1845 – 27 July 1875), was an Estonian composer. He is one of the founding figures of Estonian choral music."
Karol Kurpiński,"Karol Kazimierz Kurpiński (March 6, 1785 – September 18, 1857) was a Polish composer, conductor and pedagogue. He was a representative of late classicism and a member of the Warsaw Society of Friends of Learning (Polish: Towarzystwo Warszawskie Przyjaciół Nauk, TWPN). He is also known for having composed the music to the 1831 patriotic song La Varsovienne with lyrics by Casimir Delavigne. He was also a mentor and influence  of a young Chopin."
Elisabeth Kuyper,Elisabeth Johanna Lamina Kuyper (13 September 1877 – 26 February 1953) was a Dutch Romantic composer and conductor.
Adrien de La Fage,Juste-Adrien-Lenoir de La Fage (28 March 1801 – 8 March 1862) was a French composer and musicologist.
Louise Geneviève de La Hye,"Louise Geneviève de La Hye née Rousseau (8 March 1810 - 17 November 1838) was a French pianist, organist and composer, who sometimes used the pseudonym M. Leon Saint-Amons."
Théodore Lack,Théodore Lack (3 September 1846 – 25 November 1921) was a French pianist and composer.
Joseph Labitzky,"Joseph Labitzky (Czech: Josef Labický; 4 July 1802 in Krásno – 18 August 1881 in Karlovy Vary) was a Bohemian composer, violinist, and conductor. He studied with Karl Veit in his youth.[1] Labitzky joined a traveling orchestra at age 14, and in 1820 took a position in an orchestra in Marienbad. In 1823-24 he was in Munich, and following this he toured Germany as a concert violinist. He put together his own orchestra in 1825, touring Vienna and Warsaw. He took a conducting position in Karlsbad in 1835, and his dance pieces became quite popular throughout Europe, including England. He was involved in ""Cocks vs Purday"", a British court case concerning copyright.[2] He was the father of August Labitzky. Labitzky composed 300 dance pieces."
Josef Labor,"Josef Paul Labor (29 June 1842 – 26 April 1924) was an Austrian pianist, organist, and composer of the late Romantic era. Labor was an influential music teacher. As a friend of some key figures in Vienna, his importance was enhanced."
Vinzenz Lachner,Vinzenz Lachner (also spelled Vincenz) (19 July 1811 – 22 January 1893)[1] was a German composer and conductor.
Louis Lacombe,Pierre Louis Trouillon-Lacombe (26 November 1818 – 30 September 1884) was a French pianist and composer.[1]
Paul Lacombe (composer),Paul Lacombe (11 July 1837 – 4 June 1927) was a Languedocien (French) composer and pianist.
Franz Lachner,Franz Paul Lachner (2 April 1803 – 20 January 1890) was a German composer and conductor.[1]
Ignaz Lachner,Ignaz Lachner (11 September 1807 – 24 February 1895) was a German composer and conductor.
Michael Rophino Lacy,Michael Rophino Lacy (19 July 1795 – 20 September 1867) was an Irish violinist and composer.
Sidney Lambert,"Sidney Lambert (1838–1905) was an African-American pianist, music educator and composer, born before the American Civil War as a free person of color. He and his family were noted for talent in music and gained international acclaim.[1]"
Lucien-Léon Guillaume Lambert,"Lucien-Leon Guillaume Lambert or Lucien Lambert, Jr. (1858–1945) was a French pianist and composer of African-American Creole descent. His family was noted for talent in music and gained international acclaim.[1]"
Charles Lucien Lambert,"Charles Lucien Lambert, also known as Lucien Lambert, Sr. (1828–1896), was an American pianist, music teacher and composer, born a free person of color in New Orleans before the American Civil War. Part of a family of prominent African-American composers, Lambert was noted for talent in music and gained international acclaim.[1]"
Paul Ladmirault,"Paul Émile Ladmirault (8 December 1877 – 30 October 1944)[1] was a French composer and music critic whose music expressed his devotion to Brittany. Claude Debussy wrote that his work possessed a ""fine dreamy musicality"", commenting on its characteristically hesitant character by suggesting that it sounded as if it was ""afraid of expressing itself too much"".[2] Florent Schmitt said of him: ""Of all the musicians of his generation, he was perhaps the most talented, most original, but also the most modest"". Peter Warlock dedicated his Capriol Suite to him and Swan Hennessy his Trio, Op. 54."
Édouard Lalo,"Édouard-Victoire-Antoine Lalo (27 January 1823 – 22 April 1892) was a French composer. His most celebrated piece is the Symphonie espagnole, a five-movement concerto for violin and orchestra, which remains a popular work in the standard repertoire."
Luigi Lamberti,"Luigi Lamberti (22 October 1769 – after 1812) was an Italian composer of operas and other pieces. He was born in Savona and, like Francesco Gnecco,[1] he studied with Mariani, the maestro di capella of the Savona cathedral. Once his master died, he succeeded in the position. However, he was said to be of a restless spirit and abandoned the position. Moving to Paris in 1806, he published a number of compositions dedicated to princess Pauline Bonaparte. In Italy, he composed the operas Orfeo (1796), L' Amante Schernito,  and I Due Fratelli Originali. He was prolific. He also composed various masses; vespers and hymns including two Tantum ergo and a Miserere; motets; concertos for three, four and five strings; and symphonies, among them are two titled Pubblio Claudio and The Death of Louis XVI. While he lived in Paris in 1812, it is not known what became of him afterward.[2]"
George Jackson Lambert,"George Jackson Lambert (16 November 1794 – 24 January 1880) was an English organist and composer, for many years organist of Beverley Minster."
Louis Lambillotte,"Louis Lambillotte (born La Hamaide, (Hainaut, Belgium), 27 March 1796; died Paris, 27 February 1855) was a Belgian Jesuit, composer and palaeographer of Church music, associated with the restoration of Gregorian music, which he inaugurated and promoted by his scientific researches and publications."
Peter Lange-Müller,"Peter Erasmus Lange-Müller (1 December 1850 – 26 February 1926) was a Danish composer and pianist. His compositional style was influenced by Danish folk music and by the work of Robert Schumann; Johannes Brahms; and his Danish countrymen, including J.P.E. Hartmann."
Gustav Lange,Gustav Lange (13 August 1830 – 20 July 1889) was a German composer known mainly for his melodious salon music for the piano.
Joan Lamote de Grignon,"Joan Lamote de Grignon i Bocquet (Catalan pronunciation: [ʒuˈan ləˈmɔd də ɣɾiˈɲɔn]; 7 July 1872 – 11 March 1949) was a Catalan Spanish pianist, composer and orchestra director."
August Lanner,"Augustin Lanner (23 January 1835 in Vienna – 27 September 1855 in Vienna), sometimes known as August Lanner, was an Austrian composer, the son of the better-known Josef Lanner.[1] He was first educated at the St. Anna-Schule but received no music instruction at that time. His earliest music education was first provided by the k.k Kapellmeister Josef Strebinger in harmony and later took instructions in composition with the Viennese composer Josef Hellmesberger and also Professor Josef Mayseder. Among his first efforts at musical composition is a waltz which did not survive obscurity."
Josephine Lang,"Josephine Caroline Lang (14 March 1815 – 2 December 1880) was a German composer. Josephine Lang was the daughter of Theobald Lang, a violinist, and Regina Hitzelberger [de], opera singer. Her mother taught young Josephine how to play piano, and from age five it became apparent that Josephine was possessed with great potential as a composer. As early as age eleven Josephine started giving piano lessons herself. Through her godfather, Joseph Stieler, Josephine was exposed to some of the greatest artists of her time. Both Felix Mendelssohn and Ferdinand Hiller went to great lengths to ensure that Lang learned the proper theory for song-writing, and used their connections to publish Lang's music. Even Robert Schumann published a song of Josephine's in Neue Zeitschrift für Musik in 1838."
Georges Lamothe,"Marie Émile Georges Lamothe (1842 – 15 October 1894) was a prolific French composer, pianist and harmonium player. Apart from a large number of salon pieces for the piano, he was also known as an accompanist to popular theatrical performances including puppet plays."
Joseph Lanner,"Joseph Franz Karl Lanner (12 April 1801 – 14 April 1843) was an Austrian dance music composer and dance orchestra conductor.[1][2] He is best remembered as one of the earliest Viennese composers to reform the waltz from a simple peasant dance to something that even the highest society could enjoy, either as an accompaniment to the dance, or for the music's own sake. He was just as famous as his friend and musical rival Johann Strauss I, who was better known outside of Austria in their day because of his concert tours abroad, in particular, to France and England."
Isidro de Laporta,"Isidro de Laporta (sometimes La Porta or Porta) (1750–1808) was a Spanish composer and guitarist, active in Madrid during the first years of the 19th century."
Albert Lavignac,"Alexandre Jean Albert Lavignac (21 January 1846 – 28 May 1916) was a French music scholar, known for his essays on theory, and a minor composer."
Ferdinand Laub,"Ferdinand Laub (January 19, 1832 – March 17, 1875) was a Czech violinist and composer."
Célestin Lavigueur,Célestin Lavigueur (19 January 1831 – 11 December 1885) was a French Canadian musician and composer.[1]
Blas de Laserna,"Blas de Laserna Nieva (1751 in Corella, Navarra – 1816 in Madrid) was a Spanish composer."
Fernand de La Tombelle,Antoine Louis Joseph Gueyrand Fernand Fouant de La Tombelle (3 August 1854 – 13 August 1928) was a French organist and composer.[1][2]
Calixa Lavallée,"Calixa Lavallée (December 28, 1842 – January 21, 1891) was a French-Canadian-American musician and Union Army band musician during the American Civil War. He is best known for composing the music for ""O Canada,"" which officially became the national anthem of Canada in 1980, after a vote in the Senate and the House of Commons. The same 1980 Act of Parliament also changed some of the English lyrics. A slight alteration to the English lyrics was made again in 2018. The original French lyrics and the music, however, have remained unchanged since 1880.[1][2]"
Mlle Le Sénéchal de Kerkado,Le Sénéchal de Kerkado (c. 1786 – c. 1805) was a French composer.
Sigmund Lebert,"Sigmund (Zygmunt or Siegmund) Lebert, born Samuel Levi on 12 December 1821 in Ludwigsburg and died on 8 December 1884 in Stuttgart, was a German pianist and music teacher, and one of the founders of the Stuttgart Music School.[1] With Ludwig Stark and others he prepared a large number of works for the use of students there, including the Grosse theoretisch-praktische Klavierschule, a piano method which was translated into several languages and widely distributed in both Europe and America. Together with Franz Liszt and the cooperation of Ignaz Lachner, Vincenz Lachner and Immanuel Faisst, he created arrangements of piano works by Wolfgang Amadeus Mozart,[citation needed] and with Hans von Bulow, the famous Cotta edition of the piano sonatas of Ludwig van Beethoven published in 1881.[2]"
Aimé Leborne,"Aimé Ambroise Simon Leborne (or Aimé Le Borne) (29 December 1797 – 2 April 1866) was a Belgium-born French composer and music educator, who made his career in Paris."
Sophie Lebrun,"Sophie Lebrun Dulken (20 July 1781 – 23 July 1863) was a German pianist and composer, the daughter of Munich court oboist Ludwig August Lebrun and singer and composer Francesca Lebrun (Franziska Danzi). Sophie Lebrun was born in London while her mother was on tour. She studied singing with her uncle, composer Franz Danzi, and piano with Andreas Streicher."
Charles Lebouc,Charles Joseph Lebouc (22 December 1822 – 6 March 1893) was a French cellist and composer.
George Alexander Lee,George Alexander Lee (1802 – 8 October 1851) was an English composer.
Alfred Lefébure-Wély,"Louis-James Alfred Lefébure-Wély (13 November 1817 – 31 December 1869) was a French organist and composer. He played a major role in the development of the French symphonic organ style and was closely associated with the organ builder Aristide Cavaillé-Coll, inaugurating many new Cavaillé-Coll organs."
Isidore Legouix,Isidore Edouard Legouix (1 April 1834 – 15 September 1916) was a 19th-century French composer.
Franz Lehár,"Franz Lehár (/ˈleɪhɑːr/ LAY-har; Hungarian: Lehár Ferenc [ˈlɛhaːr ˈfɛrɛnt͡s]; 30 April 1870 – 24 October 1948) was an Austro-Hungarian composer. He is mainly known for his operettas, of which the most successful and best known is The Merry Widow (Die lustige Witwe)."
Luigi Legnani,"Luigi Rinaldo Legnani (7 November 1790 – 5 August 1877) was an Italian virtuoso guitarist, singer, composer and luthier.[1]"
Ernestina Lecuona,"Ernestina Lecuona y Casado (16 January 1882 – 3 September 1951) was a Cuban pianist, music educator and composer."
Guillaume Lekeu,Jean Joseph Nicolas Guillaume Lekeu (20 January 1870 – 21 January 1894) was a Belgian composer.
Jacques-Nicolas Lemmens,"Jacques-Nicolas (Jaak-Nicolaas) Lemmens (3 January 1823 – 30 January 1881), was an organist, music teacher, and composer for his instrument."
Salvator Léonardi,"Salvator Léonardi (born Catania, Italy 1872 – died 1938) was a mandolin virtuoso, teacher and composer. He taught in Egypt, Malta, London and Paris for more than 20 years, and also toured as a performer. Léonardi learned mandolin and guitar from an uncle, but went on to become a professional musician, studying the violin at a Naples conservatory. He won awards as a solo mandolinist at international music competitions in Florence and Rome.[1][2][3]"
Henry Lemoine,"Henry Lemoine (21 October 1786 – 18 May 1854) was a French music publisher, composer, and piano teacher.[1]"
Hubert Léonard,"Hubert Léonard (7 April 1819 – 6 May 1890) was a famous Belgian violinist, born in Liège. His earliest preparatory training was given by a prominent teacher of the time, Auguste Rouma [fr], after which he entered the Paris Conservatoire in 1836. There he studied for three years under François Antoine Habeneck. In 1844 he started his extended tours which established his reputation as one of the greatest of virtuosos. From 1848 to 1867 he held the position of principal professor of violin playing at the Brussels Conservatoire, having succeeded the celebrated Charles de Bériot. Owing to ill health, he resigned and settled in Paris, where he spent the rest of his life, and where he gave lessons. Among his notable students were Alfred De Sève, Martin Pierre Marsick, Henri Marteau, Henry Schradieck, and César Thomson. He wrote a significant pedagogical work entitled Ecole Léonard."
Mykola Leontovych,"Mykola Dmytrovych Leontovych (13 December [O.S. 1 December] 1877 – 23 January 1921; Ukrainian: Микола Дмитрович Леонтович; also Leontovich) was a Ukrainian composer, conductor, ethnomusicologist and teacher. His music was inspired by Mykola Lysenko and the Ukrainian National Music School. Leontovych specialised in a cappella choral music, ranging from original compositions, to church music, to elaborate arrangements of folk music."
Laura Lemon,"Laura Gertrude Lemon (15 October 1866 – 18 August 1924) was a Canadian composer and songwriter who lived and worked in England. She also used the pseudonyms Austin Fleming and Ian Macdonald.[1][2] Lemon was mostly known for composing pieces for violin and piano such as ""Three Moravian Dances"", which was dedicated to the Canadian violinist Kathleen Parlow. However she also noted for her song literature.[2] ""My Ain Folk, a ballad of home"",[3] was at one time one of the best-known songs by a Canadian composer.[4]"
Theodor Leschetizky,"Theodor Leschetizky (sometimes spelled Leschetitzky,[1] Polish: Teodor Leszetycki; 22 June 1830 – 14 November 1915 was an Austrian-Polish pianist, professor, and composer born in Landshut in the Kingdom of Galicia and Lodomeria, then a crown land of Austria-Hungary."
Ruggero Leoncavallo,"Ruggero (or Ruggiero)[a]  Leoncavallo (UK: /ˌleɪɒnkæˈvæloʊ/ LAY-on-kav-AL-oh,[4] US: /ˌleɪoʊnkəˈvɑːloʊ, -kɑːˈ-/ LAY-ohn-kə-VAH-loh, -⁠kah-,[5][6] Italian: [rudˈdʒɛːro leˌoŋkaˈvallo]; 23 April 1857 – 9 August 1919) was an Italian opera composer and librettist. Although he produced numerous operas and other songs throughout his career it is his opera Pagliacci (1892) that remained his lasting contribution, despite attempts to escape the shadow of his greatest success."
David Maurice Levett,David Maurice Levett (1844–1914) was an American composer.
Louis Lewandowski,"Louis Lewandowski (April 3, 1821 – February 4, 1894) was a Polish-Jewish and German-Jewish composer of synagogal music."
Hermann Levi,Hermann Levi (7 November 1839 – 13 May 1900) was a German Jewish orchestral conductor.
Ignace Leybach,"Ignace Xavier Joseph Leybach (17 July 1817 – 23 May 1891) was a French pianist, organist, music educator and a composer of salon piano music."
Samuele Levi,"Samuele Levi (1813 – 6 January 1883) was an Italian composer born in Venice. He is best known for his four operas: Iginia d'Asti (1837, Teatro San Benedetto), Ginerva degli Almieri (1840, Teatro Comunale di Trieste), Giuditta (1844, La Fenice), and La biscagliata (1860, Teatro Carignano).[1] He died in Florence."
Richard Michael Levey,"Richard Michael Levey (25 October 1811 – 28 June 1899), mostly known as R. M. Levey, was an Irish violinist, conductor, composer, and teacher. He was one of a handful of noted musicians who kept Dublin's concert life in the nineteenth century alive under difficult economic circumstances."
Demetrios Lialios,"Demetrios Lialios (Δημήτριος Λιάλιος, Patras, 1869 - 13 March 1940) was a Greek composer. He studied at the Hochschule für Musik und Theater München under Ludwig Thuille. He was possibly the first modern Greek composer to write chamber music.[1] His oeuvre includes an opera, a requiem, 22 orchestral compositions, 14 chamber music works, and 2 compositions for Greek Orthodox liturgy. His Requiem in B minor, titled Missa pro Defunctis is perhaps the first large-scale modern Greek choral work. He also composed lieder in various languages.[2] Between 1919 and 1935 he was vice-consul of Greece in Munich."
Antoine de Lhoyer,"Antoine de Lhoyer [L'Hoyer] (6 September 1768 – 15 March 1852) was a French virtuoso classical guitarist and an eminent[1] early romantic composer of mainly chamber music featuring the classical guitar. Lhoyer also had a notable military career, he was an elite member of Gardes du Corps du Roi, a Knight of the Order of St John and a Knight of the Order of St Louis.[2] His music fell into obscurity even before his impoverished death at the age of 83 in Paris."
Johann Georg Lickl,"Johann Georg Lickl, also Ligkl, Hans-Georg Lickl, Hungarian: Lickl György (11 April 1769 – 12 May 1843) was an Austrian composer, organist, Kapellmeister in the main church of Pécs, and piano teacher."
Giuseppe Libani,"Giuseppe Libani (1845-1880) was an Italian composer. Born in Rome, he is chiefly remembered for his three operas: Gulnara (1869, Palazzo Pamphilj) Il Conte Verde (1873, Teatro Apollo), and Sardanapalo (1880, Teatro Apollo). He died at the age of 35 in Rome.[1]"
Helene Liebmann,"Hélène Liebmann née Riese (16 December 1795 – 2 December 1869[1]) was a German pianist and composer. She was born in Berlin and studied music with Franz Lauska and Ferdinand Ries. A child prodigy, she made her debut before age 13 and published her Piano Sonata when she was 15. She married around 1814 and may have moved with her husband to Vienna and then London. She was present at a Clara Wieck (Schumann) concert in 1835.[2][3]"
Nanna Liebmann,"Nanna Magdalene Liebmann (September 27, 1849 – May 11, 1935) was a Danish, music educator, music critic, concert promoter and composer. She studied at The Royal Danish Academy of Music with Victor Bendix, Johann Christian Gebauer, J.P.E. Hartmann, Niels W. Gade, August Winding and Carl Helsted. At the conservatory she met composer Axel Liebmann, whom she married in 1874. He died soon afterward and she turned to composing and teaching music to support herself and her child. Most of her compositions are written between 1869 and 1914, and she wrote reviews for Dannebrog.[1][2]"
Giuseppe Lillo,"Giuseppe Lillo (26 February 1814 - 4 February 1863) was an Italian composer. He is best known for his operas which followed in the same vein of Gioachino Rossini. He also produced works for solo piano, a small amount of sacred music, and some chamber music.[1]"
Franz Limmer,"Franz Limmer (2 October 1808 – 19 January 1857) was an Austrian composer, conductor and musical performer."
Ekaterina Likoshin,Ekaterina Likoshin (Russian: Екатерина Ликошин; fl. 1800–1810) was a Russian pianist and composer who published short works for keyboard in St. Petersburg through publisher F.A. Dittmar. She is thought to have been employed by Count Uvarov.[1]
Heinrich Lichner,"Heinrich Lichner (6 March 1829 – 7 January 1898) was a prolific German composer, best known today for his teaching pieces - simple piano works written for students. He was born in Harpersdorf, Silesia. His sonatinas, including Opp. 4, 49, and 66 (among others) are in a light, fluent classical style, although the harmony occasionally betrays the influence of romanticism. He was also a director and organist - he worked as organist at the church of the 11,000 virgins, and spent a part of his life as the director of a saengerbund (choral festival) in Breslau, where he died."
Vatroslav Lisinski,"Vatroslav Lisinski (Croatian: [vâtroslaːv lisǐnskiː], 8 July 1819 – 31 May 1854) was a Croatian composer."
Armand Limnander,"Baron Armand-Marie Ghislain Limnander van Nieuwenhove (born 22 May 1814 in Ghent, Belgium – d. 15 August 1892 at the Château de Moignanville, a village in the department of Seine-et-Oise, France) was a Belgian composer of choral and orchestral works and church music. Knight of the Order of Leopold, he was the founder and conductor of the choral chamber ensembles Société Symphonique and Réunion Lyrique in Belgium."
Adolf Fredrik Lindblad,"Adolf Fredrik Lindblad (1 February 1801, Skänninge – 23 August 1878, Linköping) was a Swedish composer from the Romantic era. He is mostly known for his compositions of Swedish song or lieder, of which he produced over 200. His other well-known compositions include his Symphony No. 1 in C major, Symphony No. 2 in D major, and an opera titled Frondörerna (The Rebels). He was a well-respected friend of Felix Mendelssohn, and had a collaborative relationship with the famous Swedish soprano, Jenny Lind."
Otto Lindblad,"Otto Jonas Lindblad (31 March 1809 – 26 January 1864), was a Swedish composer. He is most famous for the musical score of Kungssången, the Swedish royal anthem."
Ludvig Mathias Lindeman,Ludvig Mathias Lindeman (28 November 1812 – 11 March 1887) was a Norwegian composer and organist. He is most noted for compiling Norwegian folk music in his work Ældre og nyere norske Fjeldmelodier.[1]
Karol Lipiński,"Karol Józef Lipiński (30 October 1790 – 16 December 1861) was a Polish music composer and virtuoso violinist active during the partitions of Poland. The Karol Lipiński University of Music in Wrocław, Poland is named after him."
Peter Josef von Lindpaintner,Peter Josef von Lindpaintner (8 December 1791 – 21 August 1856) was a German composer and conductor.
Maria Lindsay,"Maria Lindsay Bliss (15 May 1827 – 3 April 1898) was an English composer and songwriter. She was born in Wimbledon and married the Reverend John Worthington Bliss in 1858. She was one of the first women to achieve commercial success as an English songwriter in the 19th century, obtaining an exclusive contract with publisher Robert Cocks in London. She died in Betteshanger, Kent.[1]"
Henry Litolff,"Henry Charles Litolff (7 August 1818[1] – 5 August 1891) was a British virtuoso pianist, composer of Romantic music, and music publisher. A prolific composer, he is today known mainly for a single brief work – the scherzo from his Concerto Symphonique No. 4 in D minor – and remembered as the founder of the Collection Litolff (today part of Edition Peters), a highly regarded publishing imprint of classical music scores."
Giulio Litta,"Giulio Litta, Viscount Arese, (1822 – 29 May 1891) was an Italian composer. He was trained at the Milan Conservatory where his first opera, Bianca di Santafiora, premiered in 1843. He composed several more operas, most of which premiered at theatres in Milan. His last opera, Il violino di Cremona, was heard at La Scala in 1882.[1]"
Ferdo Livadić,Ferdo Livadić (Ferdinand Wiesner) (30 May 1799 – 8 January 1879) was a Croatian composer.
